Running on host compute101.bc4.acrc.priv
Time is Thu Apr 14 19:00:40 BST 2022
Directory is /user/home/kh19026/assignment2/advanced-hpc-lbm
Slurm job ID is 10225400
This job runs on the following machines:
compute[101,103-104,106]
0.003564 5.442615 0.000632 5.446811
0.001993 3.208450 0.001872 3.212315
0.033131 2.431282 0.001034 2.465447
0.035888 1.718825 0.001404 1.756117
0.034926 1.562279 0.003083 1.600288
0.035179 1.489963 0.002661 1.527803
0.037948 1.354576 0.002822 1.395346
0.036696 1.255856 0.003425 1.295977
0.035612 1.278959 0.005584 1.320155
0.036598 1.294400 0.004127 1.335125
0.032589 1.217813 0.004118 1.254520
0.035029 1.138482 0.005478 1.178989
0.036622 1.058179 0.003595 1.098396
0.037998 0.954237 0.005695 0.997930
0.035893 0.849061 0.004017 0.888971
0.031846 0.788820 0.001668 0.822334
0.001440 0.790103 0.002671 0.794214
0.001880 0.834104 0.005103 0.841087
0.036709 0.824998 0.004945 0.866652
0.034609 0.772530 0.002577 0.809716
0.001057 0.754545 0.002290 0.757892
0.034801 0.715153 0.002194 0.752148
0.034935 0.682373 0.002730 0.720038
0.035322 0.652160 0.002746 0.690228
0.001335 0.660225 0.002692 0.664252
0.001009 0.662864 0.002682 0.666555
0.031778 0.626376 0.002964 0.661118
0.105226 0.599878 0.002930 0.708034
0.001447 0.609065 0.002467 0.612979
0.001436 0.606562 0.002671 0.610669
0.001257 0.559091 0.002760 0.563108
0.001833 0.562431 0.002895 0.567159
0.001003 0.555415 0.002650 0.559068
0.001341 0.573719 0.002830 0.577890
0.033045 0.531288 0.002869 0.567202
0.001420 0.547135 0.002726 0.551281
0.001423 0.580942 0.002597 0.584962
0.108819 0.524756 0.004206 0.637781
0.001160 0.524053 0.002695 0.527908
0.032725 0.496441 0.002666 0.531832
0.001605 0.522993 0.002812 0.527410
0.001371 0.493010 0.003231 0.497612
0.001389 0.451232 0.002835 0.455456
0.019722 0.477671 0.003300 0.500693
0.001204 0.470754 0.003101 0.475059
0.001083 0.463362 0.003586 0.468031
0.036745 0.462242 0.003695 0.502682
0.109224 0.476508 0.003437 0.589169
0.007150 0.471897 0.003194 0.482241
0.001393 0.477433 0.003587 0.482413
0.001713 0.476875 0.003361 0.481949
0.132067 0.423500 0.003272 0.558839
0.004994 0.456959 0.002811 0.464764
0.105381 0.429390 0.002846 0.537617
0.001469 0.432013 0.002976 0.436458
0.001062 0.432004 0.002938 0.436004
0.001555 0.505438 0.002936 0.509929
0.001823 0.408707 0.003064 0.413594
0.001593 0.385410 0.002977 0.389980
0.001459 0.399779 0.003011 0.404249
0.001824 0.389403 0.003141 0.394368
0.001431 0.425741 0.002990 0.430162
0.002637 0.401996 0.003100 0.407733
0.108784 0.398779 0.003547 0.511110
0.111753 0.390266 0.003478 0.505497
0.102030 0.400960 0.003596 0.506586
0.001713 0.374063 0.003695 0.379471
0.095662 0.407114 0.003872 0.506648
0.001809 0.375049 0.003817 0.380675
0.001338 0.432784 0.003899 0.438021
0.102841 0.431413 0.004027 0.538281
0.106796 0.373226 0.003975 0.483997
0.008559 0.387590 0.003757 0.399906
0.091483 0.384687 0.003851 0.480021
0.110650 0.392679 0.003720 0.507049
0.137912 0.437390 0.006396 0.581698
0.094838 0.378233 0.003590 0.476661
0.192600 0.400667 0.006059 0.599326
0.113378 0.411146 0.004035 0.528559
0.001682 0.406678 0.004101 0.412461
0.001464 0.412947 0.003932 0.418343
0.108083 0.414064 0.004952 0.527099
0.080585 0.438447 0.004016 0.523048
0.002500 0.393372 0.006550 0.402422
0.110876 0.375713 0.004842 0.491431
0.109871 0.374906 0.004359 0.489136
0.003585 0.440235 0.007171 0.450991
0.003056 0.394473 0.004651 0.402180
0.104584 0.387734 0.005312 0.497630
0.082769 0.380807 0.004711 0.468287
0.000935 0.402020 0.004704 0.407659
0.114766 0.413704 0.004652 0.533122
0.002552 0.366364 0.004956 0.373872
0.110516 0.361678 0.004807 0.477001
0.001964 0.365685 0.005195 0.372844
0.107938 0.386437 0.004841 0.499216
0.113724 0.427236 0.009261 0.550221
0.002662 0.399262 0.004906 0.406830
0.110667 0.410543 0.005777 0.526987
0.170906 0.415316 0.007748 0.593970
0.001446 0.368077 0.005570 0.375093
0.112262 0.337935 0.005393 0.455590
0.111288 0.347318 0.005540 0.464146
0.127170 0.384497 0.006075 0.517742
0.002263 0.367403 0.005813 0.375479
0.106748 0.358084 0.016042 0.480874
0.130778 0.386827 0.005688 0.523293
0.246617 0.488227 0.008019 0.742863
0.285256 0.480598 0.006378 0.772232
0.098763 0.466258 0.043054 0.608075
0.271734 0.452953 0.008401 0.733088
0.223983 0.607652 0.009398 0.841033
