Running on host compute101.bc4.acrc.priv
Time is Thu Apr 14 23:55:37 BST 2022
Directory is /user/home/kh19026/assignment2/advanced-hpc-lbm
Slurm job ID is 10225529
This job runs on the following machines:
compute[101,103-104,106]
0.003734 5.645270 0.001261 5.650265
0.001664 3.153991 0.000841 3.156496
0.037130 2.499721 0.003270 2.540121
0.028250 1.939151 0.001624 1.969025
0.035965 1.833087 0.002733 1.871785
0.036093 1.586569 0.002579 1.625241
0.034042 1.328233 0.002393 1.364668
0.034887 1.160985 0.003207 1.199079
0.035046 1.243702 0.002456 1.281204
0.034627 1.167110 0.004060 1.205797
0.033036 1.194746 0.004972 1.232754
0.035197 1.084499 0.005480 1.125176
0.034146 0.980211 0.004831 1.019188
0.035238 0.932212 0.003617 0.971067
0.033337 0.899609 0.003510 0.936456
0.140821 0.769225 0.005825 0.915871
0.001336 0.799288 0.003191 0.803815
0.030632 0.730628 0.002411 0.763671
0.035789 0.765813 0.002191 0.803793
0.036313 0.728832 0.002347 0.767492
0.036398 0.723863 0.002842 0.763103
0.001080 0.697034 0.002524 0.700638
0.001193 0.676265 0.002501 0.679959
0.135928 0.651188 0.002754 0.789870
0.001254 0.633276 0.002297 0.636827
0.137902 0.606902 0.002704 0.747508
0.001032 0.646607 0.002736 0.650375
0.033631 0.633936 0.003192 0.670759
0.001426 0.568510 0.003391 0.573327
0.001744 0.583960 0.002393 0.588097
0.001146 0.595288 0.002389 0.598823
0.032703 0.528242 0.002577 0.563522
0.001475 0.563517 0.003038 0.568030
0.001340 0.582921 0.002776 0.587037
0.001332 0.557913 0.003043 0.562288
0.032193 0.521779 0.002731 0.556703
0.001416 0.537027 0.002752 0.541195
0.107196 0.512896 0.002794 0.622886
0.037236 0.508233 0.003243 0.548712
0.023704 0.460185 0.002895 0.486784
0.050563 0.501187 0.002944 0.554694
0.029080 0.492099 0.003022 0.524201
0.001022 0.485489 0.003402 0.489913
0.033619 0.468323 0.003167 0.505109
0.099025 0.445565 0.003500 0.548090
0.003810 0.500446 0.003109 0.507365
0.001402 0.472707 0.002989 0.477098
0.004872 0.459805 0.003112 0.467789
0.001375 0.456054 0.003275 0.460704
0.001385 0.476633 0.003693 0.481711
0.103349 0.452448 0.003235 0.559032
0.001487 0.470490 0.003469 0.475446
0.105273 0.434340 0.002933 0.542546
0.001337 0.475846 0.002931 0.480114
0.108927 0.454898 0.002817 0.566642
0.023259 0.469723 0.003281 0.496263
0.001949 0.451432 0.002990 0.456371
0.110700 0.396650 0.002939 0.510289
0.101326 0.391155 0.002980 0.495461
0.110442 0.408230 0.002979 0.521651
0.111493 0.417152 0.002960 0.531605
0.109775 0.406097 0.003192 0.519064
0.104268 0.387552 0.003033 0.494853
0.105265 0.387912 0.003697 0.496874
0.001763 0.377355 0.003674 0.382792
0.002143 0.371470 0.003694 0.377307
0.111243 0.380947 0.003903 0.496093
0.108508 0.414035 0.003885 0.526428
0.111738 0.393335 0.003848 0.508921
0.024700 0.390327 0.004113 0.419140
0.001524 0.375144 0.003999 0.380667
0.082430 0.406065 0.003764 0.492259
0.063825 0.379111 0.003610 0.446546
0.110957 0.378684 0.003840 0.493481
0.111172 0.388916 0.003675 0.503763
0.001374 0.410130 0.003956 0.415460
0.104035 0.391656 0.003725 0.499416
0.029034 0.398743 0.004119 0.431896
0.108877 0.395633 0.005289 0.509799
0.110716 0.405867 0.004163 0.520746
0.002413 0.438750 0.003936 0.445099
0.063568 0.385231 0.003844 0.452643
0.001443 0.383803 0.004021 0.389267
0.075850 0.385618 0.005969 0.467437
0.107800 0.386116 0.004323 0.498239
0.072782 0.353129 0.004319 0.430230
0.116815 0.388344 0.004730 0.509889
0.107326 0.370031 0.004173 0.481530
0.097528 0.380563 0.004591 0.482682
0.132280 0.443555 0.009232 0.585067
0.111987 0.389932 0.005433 0.507352
0.112140 0.441432 0.005097 0.558669
0.102092 0.423287 0.004902 0.530281
0.032862 0.435888 0.004651 0.473401
0.069939 0.370987 0.004940 0.445866
0.002325 0.456224 0.006992 0.465541
0.118778 0.378096 0.005813 0.502687
0.260480 0.392711 0.006946 0.660137
0.108024 0.397971 0.004675 0.510670
0.113185 0.376928 0.005229 0.495342
0.132324 0.343382 0.005262 0.480968
0.111122 0.422920 0.005962 0.540004
0.112240 0.362348 0.005545 0.480133
0.105948 0.423376 0.006391 0.535715
0.214732 0.404932 0.005564 0.625228
0.094811 0.420331 0.005616 0.520758
0.222795 0.362850 0.006208 0.591853
0.114071 0.381195 0.006070 0.501336
0.102666 0.433546 0.018109 0.554321
0.111119 0.437612 0.039742 0.588473
0.123463 0.479065 0.050869 0.653397
0.259059 0.527609 0.017640 0.804308
